field,description,data_type,source
qb_hit_1_player_name,String name for one of the potential players that hit the QB. No sack as the QB was not the ball carrier. For sacks please see `sack_player` or `half_sack_*_player`.,,nflfastR::field_descriptions
qb_hit_2_player_id,Unique identifier for one of the potential players that hit the QB. No sack as the QB was not the ball carrier. For sacks please see `sack_player` or `half_sack_*_player`.,,nflfastR::field_descriptions
qb_hit_2_player_name,String name for one of the potential players that hit the QB. No sack as the QB was not the ball carrier. For sacks please see `sack_player` or `half_sack_*_player`.,,nflfastR::field_descriptions
qb_kneel,Binary indicator for whether or not the QB took a knee.,,nflfastR::field_descriptions
qb_scramble,Binary indicator for whether or not the QB scrambled.,,nflfastR::field_descriptions
qb_spike,Binary indicator for whether or not the QB spiked the ball.,,nflfastR::field_descriptions
qtr,Quarter of the game (5 is overtime).,,nflfastR::field_descriptions
quarter_end,Binary indicator for whether or not the row of the data is marking the end of a quarter.,,nflfastR::field_descriptions
quarter_seconds_remaining,Numeric seconds remaining in the quarter.,,nflfastR::field_descriptions
receiver,Name of the receiver including plays with penalties.,,nflfastR::field_descriptions
receiver_id,ID of the player in the 'receiver' column.,,nflfastR::field_descriptions
receiver_jersey_number,Jersey number of the receiver.,,nflfastR::field_descriptions
receiver_player_id,Unique identifier for the receiver that was targeted on the pass.,,nflfastR::field_descriptions
receiver_player_name,String name for the targeted receiver.,,nflfastR::field_descriptions
receiving_yards,"Numeric yards by the receiver_player_name, excluding yards gained in pass plays with laterals. This should equal official receiving statistics but could miss yards gained in pass plays with laterals. Please see the description of `lateral_receiver_player_name` for further information.",,nflfastR::field_descriptions
replay_or_challenge,Binary indicator for whether or not a replay or challenge.,,nflfastR::field_descriptions
replay_or_challenge_result,String indicating the result of the replay or challenge.,,nflfastR::field_descriptions
result,Equals home_score - away_score and means the game outcome from the perspective of the home team.,,nflfastR::field_descriptions
return_team,String abbreviation of the return team.,,nflfastR::field_descriptions
return_touchdown,Binary indicator for if the play resulted in a return TD.,,nflfastR::field_descriptions
return_yards,Yards gained by the return team.,,nflfastR::field_descriptions
