season,week,team,conference,logo,games,prior_weight,power_pts,off_pts,def_pts,power_rank,off_rank,def_rank,off_wepa,off_pass_epa,off_rush_epa,off_eckel_rate,off_eckel_rate_oe,def_wepa,def_pass_epa,def_rush_epa,def_eckel_rate,def_eckel_rate_oe,adj_off_rush_epa,adj_def_rush_epa,adj_off_pass_epa,adj_def_pass_epa,off_wepa_rank,off_pass_epa_rank,off_rush_epa_rank,off_eckel_rate_rank,def_wepa_rank,def_pass_epa_rank,def_rush_epa_rank,def_eckel_rate_rank,power_change,rank_change
2025,12,TCU,Big 12,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,10,0,2.6431977966076365,1.101139030093385,1.5420587665142516,38,51,45,2.575164324100612,0.3474998274131723,0.0813196721407509,0.4957983193277311,0.13808854183212857,-1.1148739227496414,0.3025802666758166,0.01216236933226446,0.46551724137931033,0.10718533484363697,-0.05199604278457707,-0.05009641302120502,0.0369916712185505,0.03131255751789607,52,32,98,51,38,104,14,88,0.40428336500263073,11
2025,12,Pittsburgh,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,10,0,2.5644257835094626,-1.7744332905105933,4.338859074020056,39,90,11,2.1296900966505303,0.2908035914252245,0.07302210275516922,0.5072463768115942,0.1469255494614062,-1.7167632732742195,0.19785277892266395,-0.06446737196277048,0.3401360544217687,-0.01266872637725733,-0.028961774064362726,-0.07978782194129179,-0.0027878718011337465,-0.030521410071840296,69,53,103,44,6,64,3,12,-0.35160299258237515,1
2025,12,Arkansas,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,10,0,2.4366950204299633,5.440310696362985,-3.003615675933022,40,14,110,4.054185295700175,0.31906713049315194,0.34604619656276514,0.5963302752293578,0.25116713190939,-0.09401218329005738,0.39925549036484004,0.20365899243259195,0.5398230088495575,0.198680317218182,0.11580793172819216,0.01715675590700974,0.020863139254274764,0.07731554713687343,11,39,4,11,130,127,113,124,0.3386714371389976,12
2025,12,Texas,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,10,0,2.3871124308067597,-0.9722126161071123,3.359325046913872,41,78,22,1.9053721951785323,0.28574512802422936,0.04474169881770221,0.4672131147540984,0.09668451996647086,-1.3944156272592536,0.15986361333578064,0.018633873061878935,0.36923076923076925,0.007394058388963547,-0.05851195671185955,-0.059285154196254644,0.027891555070561205,0.002372621310902116,83,55,119,73,11,49,16,23,-0.6869366534117032,-2
2025,12,Iowa,Big Ten,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,10,0,2.1710851054926903,-1.2233827607253196,3.39446786621801,42,80,21,1.9768470448759379,0.18958312138821176,0.19115610190428645,0.47058823529411764,0.0993797832875741,-0.847173736582155,0.1364389073191112,0.039875255482653284,0.3275862068965517,-0.03130342908796293,0.029820631768959053,-0.04350371607106038,-0.028015250692172224,-0.06464838296191688,77,84,39,69,64,40,22,7,-0.05169815775197195,8
2025,12,UConn,FBS Independents,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,11,0,2.1253735620303664,4.254075335418092,-2.1287017733877254,43,22,100,4.044210133618892,0.37402061857896945,0.29630135904225874,0.5725190839694656,0.20083226840468907,-0.1929639539379126,0.18060969526819323,0.20669531421122528,0.45588235294117646,0.09365623579555393,0.047943041750405806,0.03953325579433101,0.04647407721970631,-0.009008271098741898,12,24,10,18,124,58,115,77,-1.7371912538007992,-10
2025,12,Arizona State,Big 12,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,10,0,2.1211646816663974,0.41621760375219646,1.704947077914201,44,59,40,2.223056175005268,0.21092666282988248,0.15305141921226398,0.4409448818897638,0.098995620985738,-0.846465213639509,0.16616352809218532,0.11670123151517049,0.4409448818897638,0.07868727544598049,0.006638453700461519,-0.019363586641491345,-0.009968686138549144,-0.023261681707069742,62,75,57,89,65,52,64,67,0.2766585337018641,10
2025,12,Central Michigan,Mid-American,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,10,0,2.1010855623204807,0.7586713656935413,1.3424141966269394,45,53,48,2.5429311123008373,0.44046372719261556,0.05885569827175753,0.3706896551724138,0.015983610872019324,-1.3011286072402082,0.030185742120451622,0.16656658149596743,0.4628099173553719,0.09660481306860325,-0.05848754347647709,0.03690551424758721,0.11885264003481626,-0.11532586581190407,54,8,113,118,19,10,95,85,0.8569897107590498,15
2025,12,Jacksonville State,Conference USA,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,10,0,2.0722632865828325,1.7254258468242765,0.34683743975855597,46,46,69,2.7519169735587625,0.1393670392786069,0.2889743965173557,0.3983050847457627,0.04113467127803219,-0.6799888148684874,0.19201075809068244,0.11212213641636014,0.41935483870967744,0.05660379975853216,0.06427689066275102,0.007967451144098947,-0.01996481856512788,-5.901504720074938e-5,44,103,13,106,87,62,60,51,-0.5257497218699818,-4
2025,12,Auburn,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,10,0,2.037003282652006,-0.19524848190748204,2.2322517645594884,47,66,35,2.2008504996708766,0.07384476469103148,0.25142675326140296,0.44339622641509435,0.0830233433857774,-1.5665145986370155,0.29322800516750486,-0.10386776601706237,0.4594594594594595,0.09457556065146606,0.06497693842822569,-0.12878754161443234,-0.07786813006148863,0.029678854716526426,65,124,21,87,8,98,1,81,0.1955357589318243,8
2025,12,Clemson,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,10,0,1.9987288578312996,0.3539671092255198,1.6447617486057797,48,60,43,1.9235126380195495,0.24466174724416417,0.11510583954859249,0.46774193548387094,0.10739470284335054,-0.731638740049706,0.19675312537074507,0.09250433927597741,0.424,0.06679085468729208,-0.002309788605644038,-0.0060410936717526995,0.019748800092248112,-0.01838656577892311,82,68,79,72,79,63,49,55,-1.3997658818772307,-12
2025,12,Missouri State,Conference USA,https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png,10,0,1.9144895434637124,2.909941248226153,-0.9954517047624405,49,35,89,2.8150657031330284,0.3284415619612896,0.0780616224409774,0.39166666666666666,0.019447287184314096,-0.5220344376639321,0.29910260369196184,0.19341919426474727,0.40336134453781514,0.03484708607431235,-0.024859656662749544,0.026940507649010764,0.0593255397616293,0.02060308253685148,41,37,101,111,102,101,109,39,-0.5800632023074113,-4
2025,12,Illinois,Big Ten,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,10,0,1.871741599440699,1.9605743345007252,-0.0888327350600263,50,43,77,3.1484684071456,0.4164406843258267,0.11291800326031802,0.5963302752293578,0.2374741949630612,-0.5619704635152655,0.30155990966537627,0.09424724654659185,0.48214285714285715,0.12993320903249386,-0.03361708958866708,-0.036702749237487294,0.09719102777768285,0.03186633282098593,29,13,81,11,100,103,51,95,-0.6484319195487869,-6
2025,12,Fresno State,Mountain West,https://a.espncdn.com/i/teamlogos/ncaa/500/278.png,10,0,1.8549839747679266,-2.407391430682509,4.2623754054504355,51,98,12,1.8687898858784235,0.22642609366700653,0.06697157498749988,0.4132231404958678,0.048609298686136095,-1.0586810668930335,0.10596044909100268,0.1099826675468592,0.3524590163934426,-0.003251580314904681,-0.05917905234644973,0.008465066019784334,-0.04207648230698455,-0.08317604964571126,85,72,107,99,41,27,59,17,-0.7340958984457053,-8
2025,12,Hawai'i,Mountain West,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png,10,0,1.8161466601486291,1.4450072291473375,0.37113943100129165,52,48,67,2.2806050672216287,0.2921646329717524,0.09245413427767936,0.4918032786885246,0.1221338491889603,-0.6673145044005052,0.2451110542941324,0.15692753847347873,0.4566929133858268,0.08707024067859546,-0.03267034791779378,0.019552784198986546,0.04140523792589743,0.019198629830397794,60,52,88,52,90,83,91,78,0.2638832939328919,7
